oid,sid,time,contact_mac
1,516,1,17
2,519,1,60
3,556,1,52
4,557,1,30
5,536,1,58
6,561,11,18
7,551,11,95
8,569,11,97
9,532,11,24
10,519,11,5
11,546,21,32
12,530,21,41
13,508,21,71
14,568,21,17
15,511,21,9
16,508,31,86
17,570,31,18
18,595,31,64
19,507,31,14
20,520,31,44
21,510,41,62
22,511,41,4
23,512,41,90
24,576,41,83
25,565,41,25
26,564,51,29
27,548,51,48
28,526,51,52
29,505,51,1
30,565,51,24
31,522,61,61
32,508,61,43
33,583,61,72
34,530,61,40
35,549,61,57
36,593,71,81
37,522,71,85
38,538,71,68
39,600,71,30
40,503,71,92
41,552,81,8
42,502,81,26
43,595,81,47
44,548,81,85
45,599,81,7
46,548,91,37
47,557,91,62
48,528,91,16
49,544,91,77
50,572,91,14
51,572,101,93
52,560,101,77
53,594,101,71
54,561,101,28
55,582,101,3
56,523,111,4
57,573,111,70
58,546,111,35
59,591,111,33
60,532,111,81
61,557,121,88
62,502,121,16
63,510,121,73
64,583,121,47
65,594,121,20
66,586,131,77
67,544,131,40
68,525,131,69
69,537,131,15
70,571,131,74
71,590,141,23
72,536,141,16
73,523,141,55
74,593,141,8
75,578,141,57
76,512,151,40
77,547,151,1
78,546,151,64
79,504,151,30
80,578,151,84
81,557,161,21
82,556,161,4
83,534,161,81
84,578,161,27
85,513,161,53
86,513,171,62
87,577,171,64
88,548,171,56
89,530,171,31
90,593,171,35
91,525,181,71
92,530,181,39
93,524,181,13
94,565,181,27
95,574,181,79
96,548,191,72
97,509,191,86
98,512,191,7
99,522,191,61
100,570,191,53
101,522,201,35
102,567,201,74
103,545,201,53
104,558,201,30
105,510,201,76
106,535,211,42
107,567,211,8
108,523,211,95
109,537,211,93
110,538,211,20
111,526,221,94
112,590,221,27
113,536,221,7
114,514,221,47
115,515,221,12
116,513,231,3
117,580,231,61
118,593,231,69
119,574,231,47
120,535,231,33
121,592,241,64
122,506,241,93
123,529,241,53
124,585,241,89
125,543,241,55
126,512,251,57
127,555,251,4
128,539,251,42
129,523,251,20
130,526,251,73
131,587,261,64
132,509,261,26
133,539,261,40
134,524,261,96
135,516,261,44
136,573,271,11
137,571,271,64
138,553,271,78
139,501,271,71
140,596,271,56
141,528,281,44
142,546,281,79
143,509,281,98
144,533,281,89
145,537,281,61
146,538,291,61
147,565,291,33
148,545,291,10
149,528,291,53
150,578,291,37
151,556,301,99
152,592,301,4
153,502,301,24
154,525,301,13
155,579,301,30
156,503,311,78
157,505,311,36
158,556,311,90
159,547,311,22
160,600,311,60
161,526,321,14
162,578,321,33
163,584,321,81
164,571,321,71
165,559,321,89
166,553,331,52
167,520,331,53
168,547,331,45
169,583,331,83
170,549,331,14
171,545,341,26
172,509,341,41
173,581,341,21
174,546,341,30
175,573,341,67
176,592,351,82
177,505,351,9
178,540,351,72
179,576,351,29
180,542,351,21
181,576,361,66
182,577,361,41
183,599,361,62
184,533,361,13
185,519,361,27
186,509,371,82
187,566,371,38
188,518,371,39
189,585,371,30
190,579,371,89
191,530,381,93
192,598,381,78
193,566,381,55
194,600,381,87
195,548,381,73
196,517,391,78
197,529,391,23
198,557,391,43
199,575,391,86
200,546,391,26
201,572,401,79
202,504,401,59
203,502,401,94
204,600,401,15
205,552,401,63
206,575,411,92
207,525,411,62
208,579,411,14
209,503,411,48
210,589,411,98
211,524,421,2
212,524,421,33
213,590,421,40
214,574,421,3
215,551,421,73
216,583,431,10
217,535,431,55
218,501,431,36
219,535,431,97
220,552,431,71
221,530,441,57
222,548,441,25
223,507,441,5
224,526,441,18
225,537,441,60
226,505,451,71
227,596,451,46
228,590,451,49
229,569,451,66
230,592,451,96
231,517,461,92
232,511,461,1
233,595,461,55
234,502,461,31
235,558,461,58
236,538,471,23
237,565,471,8
238,516,471,1
239,506,471,53
240,509,471,48
241,600,481,42
242,526,481,24
243,576,481,79
244,520,481,52
245,546,481,10
246,540,491,45
247,589,491,4
248,589,491,44
249,578,491,99
250,577,491,17
251,564,501,81
252,574,501,8
253,516,501,75
254,539,501,66
255,519,501,12
256,584,511,79
257,566,511,22
258,523,511,50
259,516,511,60
260,572,511,62
261,524,521,98
262,563,521,20
263,510,521,94
264,534,521,44
265,568,521,16
266,567,531,9
267,502,531,85
268,515,531,75
269,566,531,99
270,589,531,83
271,545,541,23
272,578,541,86
273,548,541,62
274,531,541,21
275,549,541,87
276,551,551,56
277,574,551,52
278,579,551,54
279,581,551,41
280,540,551,46
281,571,561,56
282,510,561,30
283,541,561,37
284,546,561,80
285,541,561,59
286,572,571,8
287,557,571,30
288,530,571,22
289,541,571,87
290,504,571,52
291,548,581,17
292,523,581,54
293,588,581,82
294,533,581,45
295,505,581,71
296,527,591,11
297,570,591,55
298,594,591,41
299,539,591,98
300,592,591,31
301,595,601,75
302,586,601,39
303,528,601,27
304,568,601,59
305,504,601,40
306,597,611,38
307,583,611,5
308,543,611,23
309,503,611,53
310,561,611,10
311,501,621,6
312,530,621,25
313,572,621,70
314,558,621,34
315,537,621,29
316,522,631,92
317,586,631,64
318,568,631,86
319,591,631,73
320,600,631,6
321,569,641,15
322,582,641,35
323,549,641,75
324,583,641,55
325,522,641,41
326,565,651,34
327,559,651,93
328,537,651,69
329,589,651,1
330,566,651,39
331,523,661,28
332,557,661,79
333,546,661,58
334,553,661,29
335,559,661,50
336,569,671,74
337,585,671,59
338,503,671,35
339,502,671,25
340,566,671,61
341,543,681,28
342,550,681,91
343,537,681,52
344,587,681,61
345,563,681,88
346,553,691,3
347,600,691,72
348,587,691,55
349,536,691,97
350,584,691,66
351,569,701,66
352,552,701,15
353,573,701,53
354,518,701,55
355,599,701,12
356,597,711,81
357,524,711,20
358,599,711,21
359,579,711,39
360,515,711,62
361,571,721,38
362,555,721,71
363,536,721,13
364,581,721,46
365,537,721,51
366,536,731,59
367,570,731,61
368,595,731,43
369,529,731,46
370,600,731,88
371,570,741,89
372,513,741,4
373,531,741,93
374,539,741,13
375,513,741,79
376,505,751,61
377,594,751,41
378,565,751,9
379,565,751,83
380,593,751,69
381,545,761,65
382,563,761,26
383,523,761,22
384,554,761,76
385,591,761,93
386,580,771,3
387,506,771,85
388,592,771,49
389,554,771,48
390,562,771,24
391,587,781,57
392,550,781,91
393,590,781,99
394,574,781,81
395,539,781,80
396,593,791,5
397,559,791,22
398,547,791,56
399,518,791,87
400,554,791,82
401,580,801,52
402,553,801,50
403,585,801,29
404,600,801,76
405,557,801,32
406,590,811,23
407,506,811,88
408,534,811,39
409,584,811,52
410,588,811,41
411,518,821,75
412,586,821,63
413,572,821,10
414,561,821,38
415,570,821,11
416,528,831,94
417,502,831,45
418,575,831,62
419,541,831,43
420,594,831,36
421,584,841,15
422,525,841,19
423,511,841,37
424,593,841,48
425,536,841,16
426,536,851,75
427,591,851,34
428,526,851,43
429,600,851,48
430,576,851,83
431,563,861,79
432,552,861,24
433,555,861,68
434,539,861,1
435,505,861,80
436,539,871,72
437,579,871,24
438,557,871,59
439,523,871,98
440,536,871,79
441,573,881,77
442,593,881,7
443,532,881,85
444,531,881,60
445,529,881,68
446,587,891,36
447,531,891,12
448,515,891,20
449,502,891,67
450,524,891,83
451,595,901,90
452,593,901,11
453,503,901,69
454,559,901,67
455,580,901,85
456,504,911,56
457,587,911,64
458,600,911,21
459,537,911,42
460,578,911,80
461,580,921,32
462,518,921,12
463,556,921,61
464,566,921,21
465,581,921,39
466,508,931,77
467,560,931,7
468,551,931,72
469,556,931,61
470,571,931,88
471,541,941,22
472,589,941,81
473,537,941,11
474,519,941,10
475,510,941,16
476,554,951,96
477,570,951,79
478,513,951,34
479,552,951,86
480,535,951,38
481,538,961,80
482,534,961,21
483,550,961,27
484,519,961,35
485,525,961,72
486,584,971,91
487,597,971,45
488,546,971,15
489,527,971,7
490,563,971,73
491,548,981,54
492,594,981,42
493,592,981,1
494,600,981,22
495,599,981,66
496,581,991,38
497,543,991,88
498,525,991,60
499,592,991,81
500,524,991,79
501,567,1001,74
502,521,1001,57
503,538,1001,42
504,544,1001,12
505,529,1001,2
506,587,1011,76
507,536,1011,83
508,599,1011,19
509,536,1011,68
510,544,1011,14
511,508,1021,28
512,596,1021,7
513,546,1021,64
514,542,1021,1
515,581,1021,2
516,524,1031,14
517,533,1031,47
518,594,1031,28
519,524,1031,1
520,501,1031,64
521,546,1041,83
522,543,1041,29
523,596,1041,37
524,560,1041,2
525,508,1041,39
526,509,1051,67
527,557,1051,82
528,568,1051,5
529,533,1051,26
530,507,1051,61
531,520,1061,38
532,574,1061,12
533,531,1061,10
534,520,1061,54
535,512,1061,75
536,552,1071,74
537,550,1071,62
538,506,1071,3
539,521,1071,45
540,501,1071,76
541,551,1081,57
542,566,1081,27
543,564,1081,46
544,517,1081,36
545,504,1081,88
546,591,1091,98
547,501,1091,14
548,528,1091,52
549,501,1091,31
550,530,1091,50
551,569,1101,26
552,509,1101,60
553,563,1101,13
554,533,1101,68
555,512,1101,80
556,549,1111,62
557,597,1111,95
558,529,1111,42
559,530,1111,94
560,510,1111,5
561,508,1121,13
562,552,1121,46
563,588,1121,96
564,542,1121,2
565,503,1121,17
566,528,1131,55
567,556,1131,5
568,576,1131,25
569,597,1131,70
570,522,1131,92
571,582,1141,71
572,594,1141,97
573,503,1141,8
574,514,1141,47
575,512,1141,14
576,548,1151,66
577,557,1151,84
578,509,1151,49
579,523,1151,28
580,562,1151,42
581,573,1161,19
582,593,1161,23
583,565,1161,68
584,576,1161,45
585,501,1161,60
586,531,1171,46
587,599,1171,26
588,582,1171,90
589,545,1171,32
590,588,1171,84
591,594,1181,50
592,596,1181,60
593,525,1181,97
594,571,1181,15
595,534,1181,4
596,515,1191,83
597,549,1191,93
598,550,1191,4
599,556,1191,8
600,566,1191,37
601,584,1201,66
602,567,1201,63
603,562,1201,49
604,595,1201,46
605,535,1201,48
606,562,1211,67
607,542,1211,53
608,594,1211,38
609,564,1211,55
610,527,1211,85
611,600,1221,91
612,575,1221,38
613,594,1221,93
614,521,1221,43
615,538,1221,81
616,575,1231,90
617,526,1231,73
618,596,1231,58
619,565,1231,45
620,574,1231,13
621,573,1241,60
622,564,1241,44
623,543,1241,37
624,511,1241,33
625,597,1241,57
626,594,1251,93
627,565,1251,3
628,588,1251,29
629,563,1251,94
630,502,1251,30
631,578,1261,10
632,586,1261,71
633,599,1261,78
634,565,1261,82
635,541,1261,8
636,576,1271,48
637,586,1271,78
638,504,1271,12
639,520,1271,32
640,595,1271,26
641,527,1281,89
642,512,1281,5
643,591,1281,76
644,521,1281,47
645,573,1281,12
646,570,1291,96
647,519,1291,81
648,569,1291,17
649,572,1291,80
650,596,1291,34
651,595,1301,21
652,566,1301,85
653,513,1301,94
654,562,1301,62
655,541,1301,38
