id,name,type
1,Occupant_1,Type_4
2,Occupant_2,Type_1
3,Occupant_3,Type_3
4,Occupant_4,Type_1
5,Occupant_5,Type_4
6,Occupant_6,Type_5
7,Occupant_7,Type_4
8,Occupant_8,Type_3
9,Occupant_9,Type_2
10,Occupant_10,Type_5
11,Occupant_11,Type_4
12,Occupant_12,Type_3
13,Occupant_13,Type_5
14,Occupant_14,Type_5
15,Occupant_15,Type_3
16,Occupant_16,Type_5
17,Occupant_17,Type_2
18,Occupant_18,Type_5
19,Occupant_19,Type_3
20,Occupant_20,Type_1
21,Occupant_21,Type_4
22,Occupant_22,Type_1
23,Occupant_23,Type_1
24,Occupant_24,Type_3
25,Occupant_25,Type_4
26,Occupant_26,Type_5
27,Occupant_27,Type_3
28,Occupant_28,Type_2
29,Occupant_29,Type_3
30,Occupant_30,Type_3
31,Occupant_31,Type_2
32,Occupant_32,Type_4
33,Occupant_33,Type_1
34,Occupant_34,Type_1
35,Occupant_35,Type_5
36,Occupant_36,Type_1
37,Occupant_37,Type_2
38,Occupant_38,Type_2
39,Occupant_39,Type_4
40,Occupant_40,Type_2
41,Occupant_41,Type_1
42,Occupant_42,Type_4
43,Occupant_43,Type_2
44,Occupant_44,Type_2
45,Occupant_45,Type_1
46,Occupant_46,Type_5
47,Occupant_47,Type_2
48,Occupant_48,Type_3
49,Occupant_49,Type_2
50,Occupant_50,Type_1
51,Occupant_51,Type_3
52,Occupant_52,Type_5
53,Occupant_53,Type_4
54,Occupant_54,Type_1
55,Occupant_55,Type_3
56,Occupant_56,Type_4
57,Occupant_57,Type_4
58,Occupant_58,Type_2
59,Occupant_59,Type_4
60,Occupant_60,Type_2
61,Occupant_61,Type_4
62,Occupant_62,Type_1
63,Occupant_63,Type_4
64,Occupant_64,Type_5
65,Occupant_65,Type_4
66,Occupant_66,Type_1
67,Occupant_67,Type_4
68,Occupant_68,Type_1
69,Occupant_69,Type_2
70,Occupant_70,Type_4
71,Occupant_71,Type_1
72,Occupant_72,Type_3
73,Occupant_73,Type_3
74,Occupant_74,Type_1
75,Occupant_75,Type_1
76,Occupant_76,Type_2
77,Occupant_77,Type_3
78,Occupant_78,Type_4
79,Occupant_79,Type_1
80,Occupant_80,Type_4
81,Occupant_81,Type_2
82,Occupant_82,Type_1
83,Occupant_83,Type_3
84,Occupant_84,Type_4
85,Occupant_85,Type_2
86,Occupant_86,Type_4
87,Occupant_87,Type_3
88,Occupant_88,Type_1
89,Occupant_89,Type_2
90,Occupant_90,Type_2
91,Occupant_91,Type_4
92,Occupant_92,Type_4
93,Occupant_93,Type_4
94,Occupant_94,Type_5
95,Occupant_95,Type_2
96,Occupant_96,Type_3
97,Occupant_97,Type_4
98,Occupant_98,Type_3
99,Occupant_99,Type_3
100,Occupant_100,Type_3
