oid,sid,time,mac
1,18,1,43
2,71,1,69
3,42,1,83
4,8,1,26
5,4,1,86
6,27,11,92
7,45,11,52
8,21,11,16
9,63,11,37
10,38,11,19
11,45,21,70
12,29,21,81
13,63,21,91
14,14,21,20
15,5,21,78
16,49,31,68
17,31,31,87
18,27,31,38
19,44,31,20
20,20,31,78
21,93,41,42
22,61,41,38
23,82,41,37
24,94,41,86
25,74,41,17
26,8,51,34
27,31,51,47
28,17,51,35
29,32,51,78
30,85,51,87
31,30,61,19
32,28,61,60
33,74,61,67
34,86,61,54
35,67,61,61
36,98,71,9
37,7,71,72
38,59,71,54
39,56,71,89
40,51,71,44
41,7,81,92
42,93,81,77
43,65,81,19
44,87,81,84
45,63,81,37
46,79,91,11
47,78,91,32
48,31,91,96
49,1,91,95
50,82,91,41
51,46,101,59
52,28,101,53
53,95,101,50
54,5,101,67
55,61,101,18
56,59,111,10
57,69,111,33
58,81,111,52
59,38,111,84
60,79,111,39
61,73,121,87
62,4,121,36
63,76,121,45
64,93,121,63
65,83,121,40
66,9,131,62
67,73,131,52
68,14,131,76
69,76,131,21
70,70,131,86
71,55,141,41
72,53,141,5
73,27,141,34
74,54,141,13
75,81,141,55
76,95,151,99
77,15,151,14
78,30,151,64
79,89,151,96
80,24,151,88
81,79,161,54
82,58,161,35
83,13,161,82
84,92,161,18
85,49,161,34
86,55,171,44
87,10,171,16
88,32,171,95
89,9,171,64
90,13,171,48
91,34,181,31
92,96,181,50
93,54,181,71
94,91,181,46
95,61,181,48
96,8,191,59
97,2,191,18
98,12,191,49
99,45,191,84
100,1,191,72
101,95,201,18
102,27,201,45
103,86,201,95
104,94,201,19
105,59,201,97
106,57,211,55
107,60,211,8
108,53,211,67
109,93,211,90
110,99,211,77
111,14,221,66
112,44,221,56
113,39,221,62
114,5,221,98
115,12,221,26
116,79,231,21
117,73,231,86
118,67,231,20
119,10,231,2
120,35,231,1
121,96,241,15
122,16,241,18
123,80,241,66
124,40,241,88
125,12,241,29
126,59,251,92
127,27,251,45
128,77,251,30
129,79,251,47
130,53,251,66
131,85,261,69
132,62,261,89
133,53,261,10
134,12,261,96
135,94,261,53
136,69,271,64
137,2,271,3
138,49,271,30
139,45,271,19
140,68,271,88
141,60,281,36
142,86,281,66
143,22,281,34
144,5,281,4
145,91,281,31
146,62,291,49
147,62,291,37
148,18,291,54
149,45,291,39
150,51,291,31
151,72,301,3
152,18,301,5
153,47,301,26
154,16,301,80
155,60,301,37
156,41,311,40
157,11,311,99
158,27,311,92
159,65,311,95
160,21,311,71
161,5,321,85
162,47,321,68
163,83,321,7
164,79,321,83
165,65,321,5
166,38,331,96
167,49,331,82
168,83,331,85
169,35,331,32
170,33,331,86
171,73,341,67
172,30,341,87
173,5,341,4
174,46,341,18
175,73,341,49
176,51,351,18
177,78,351,51
178,46,351,10
179,6,351,30
180,26,351,12
181,18,361,81
182,49,361,43
183,82,361,67
184,74,361,84
185,35,361,22
186,75,371,70
187,87,371,24
188,51,371,59
189,8,371,96
190,15,371,41
191,59,381,6
192,32,381,33
193,69,381,85
194,72,381,82
195,85,381,81
196,83,391,9
197,95,391,44
198,62,391,48
199,76,391,62
200,9,391,81
201,16,401,91
202,45,401,41
203,55,401,78
204,57,401,86
205,51,401,26
206,54,411,45
207,31,411,30
208,25,411,34
209,51,411,78
210,11,411,7
211,30,421,38
212,61,421,18
213,76,421,28
214,21,421,86
215,86,421,71
216,8,431,94
217,46,431,81
218,88,431,27
219,43,431,90
220,37,431,73
221,82,441,21
222,53,441,58
223,20,441,62
224,35,441,13
225,54,441,33
226,68,451,78
227,44,451,66
228,43,451,52
229,73,451,41
230,56,451,44
231,96,461,23
232,46,461,34
233,33,461,50
234,47,461,78
235,100,461,74
236,51,471,17
237,94,471,95
238,52,471,23
239,86,471,46
240,15,471,47
241,90,481,9
242,72,481,91
243,11,481,42
